dataset,source,policy,implementation,model,context_len,continuation_len,target_cache_size,compression_ratio,sink_size,snap_observation_window,pyramid_window_size,pyramid_beta,lazy_threshold,nll,ppl,prefill_s,decode_s,tokens_per_s,prompt_avg_cache_len,prompt_cache_lengths,final_avg_cache_len,final_cache_lengths,kept_fraction_prompt,kv_cache_mb_prompt,kv_cache_mb_final,peak_cuda_mb,decode_attention_flops
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.0,4,32,4,20,0.75,2.277228,9.74962,0.376561,1.187652,107.776,512.0,512 512 512 512 512 512,640.0,640 640 640 640 640 640,1.0,12.0,15.0,390.912,906756096
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,2.878681,17.790787,0.127928,0.991147,129.143,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,382.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,hybrid_expected_observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.753434,42.667344,0.060089,1.078749,118.656,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected_observed_residual,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.63711,37.981906,0.032588,0.975493,131.216,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.111283,22.449819,0.026892,1.050527,121.844,132.0,165 152 139 125 112 99,260.0,293 280 267 253 240 227,0.257812,3.094,6.094,382.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,residual_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.693441,40.182892,0.037754,1.111474,115.162,132.0,165 152 139 125 112 99,260.0,293 280 267 253 240 227,0.257812,3.094,6.094,431.006,309067776
pg19,emozilla/pg19/default:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.0,4,32,4,20,0.75,3.494614,32.937559,0.018559,1.053494,121.5,512.0,512 512 512 512 512 512,640.0,640 640 640 640 640 640,1.0,12.0,15.0,390.912,906756096
pg19,emozilla/pg19/default:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.551348,34.86028,0.026853,1.084572,118.019,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,382.006,309067776
pg19,emozilla/pg19/default:test,hybrid_expected_observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.498696,33.072293,0.032462,0.917663,139.485,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
pg19,emozilla/pg19/default:test,expected_observed_residual,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.524286,33.929542,0.036006,1.061691,120.562,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
pg19,emozilla/pg19/default:test,expected_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.533242,34.23476,0.029189,1.055184,121.306,132.0,165 152 139 125 112 99,260.0,293 280 267 253 240 227,0.257812,3.094,6.094,382.006,309067776
pg19,emozilla/pg19/default:test,residual_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.508807,33.408377,0.034714,1.137186,112.559,132.0,165 152 139 125 112 99,260.0,293 280 267 253 240 227,0.257812,3.094,6.094,431.006,309067776
