dataset,source,policy,implementation,model,context_len,max_new_tokens,generated_tokens,target_cache_size,compression_ratio,sink_size,snap_observation_window,pyramid_window_size,pyramid_beta,lazy_threshold,ttft_s,tpot_s,throughput_tok_s,total_pipeline_s,prompt_avg_cache_len,prompt_cache_lengths,final_avg_cache_len,final_cache_lengths,kept_fraction_prompt,kv_cache_mb_prompt,peak_cuda_mb,decode_attention_flops,avg_attention_flops_per_token,answer_preview,tpot_speedup_vs_dense,flops_ratio_vs_dense
pg19,emozilla/pg19/default:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.0,4,32,4,20,0.75,0.056148,0.005321,144.736,0.394429,512.0,512 512 512 512 512 512,544.0,544 544 544 544 544 544,1.0,12.0,316.728,207814656,6494208," the first day of the printing of the paper, and the  following day, the paper w",1.0,1.0
pg19,emozilla/pg19/default:test,streaming,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.006152,0.005958,167.681,0.239445,256.0,256 256 256 256 256 256,288.0,288 288 288 288 288 288,0.5,6.0,311.728,107151360,3348480," the first day of the trial, the first day of the trial, the second day of the t",0.893,0.51561
pg19,emozilla/pg19/default:test,snapkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.005876,0.00596,167.87,0.227211,256.0,256 256 256 256 256 256,288.0,288 288 288 288 288 288,0.5,6.0,352.728,107151360,3348480," the first half of the year, and the second half of the year,  the first half of",0.893,0.51561
pg19,emozilla/pg19/default:test,pyramidkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.006694,0.006728,148.649,0.23492,256.5,500 403 305 208 110 13,288.5,532 435 337 240 142 45,0.500977,6.012,353.688,107347968,3354624," St. Paul, a small town in the United States, a small town in the United States,",0.791,0.516556
pg19,emozilla/pg19/default:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.006772,0.006218,160.385,0.255159,256.0,256 256 256 256 256 256,288.0,288 288 288 288 288 288,0.5,6.0,311.728,107151360,3348480," the first half of the period, and the second half of the period, and the third ",0.856,0.51561
pg19,emozilla/pg19/default:test,expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.006358,0.006245,160.036,0.223791,256.5,500 403 305 208 110 13,288.5,532 435 337 240 142 45,0.500977,6.012,312.688,107347968,3354624,"    the first half of the year, and the second half of the     year, and the thi",0.852,0.516556
pg19,emozilla/pg19/default:test,layer_adaptive_expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.006345,0.006399,156.313,0.253894,256.5,500 403 305 208 110 13,288.5,532 435 337 240 142 45,0.500977,6.012,353.688,107347968,3354624," the first of the following  ""The first of the following  ""The first of the foll",0.832,0.516556
pg19,emozilla/pg19/default:test,observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.006913,0.006599,151.305,0.231159,256.0,256 256 256 256 256 256,288.0,288 288 288 288 288 288,0.5,6.0,352.728,107151360,3348480," St. Paul,  ""The first day of the year, the second day of the year, the third da",0.806,0.51561
pg19,emozilla/pg19/default:test,tova,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.00661,0.005856,170.068,0.208281,256.0,256 256 256 256 256 256,288.0,288 288 288 288 288 288,0.5,6.0,352.728,107151360,3348480," St. Paul,  ""The  ""The  ""The  ""The  ""The  ""The  """,0.909,0.51561
pg19,emozilla/pg19/default:test,hybrid_expected_observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.005862,0.005736,174.205,0.220918,256.0,256 256 256 256 256 256,288.0,288 288 288 288 288 288,0.5,6.0,352.728,107151360,3348480," the first week of the printing of the paper, and in 1858  the paper was printed",0.928,0.51561
pg19,emozilla/pg19/default:test,hybrid_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,32,32,256,0.499023,4,32,4,20,0.75,0.00599,0.005824,171.556,0.215226,256.0,320 294 269 243 218 192,288.0,352 326 301 275 250 224,0.5,6.0,352.978,107151360,3348480," the first week of the printing of the paper, and in 1858  the paper was printed",0.914,0.51561
