"dataset","source","policy","implementation","model","context_len","max_new_tokens","generated_tokens","target_cache_size","compression_ratio","sink_size","snap_observation_window","pyramid_window_size","pyramid_beta","lazy_threshold","ttft_s","tpot_s","throughput_tok_s","total_pipeline_s","prompt_avg_cache_len","prompt_cache_lengths","final_avg_cache_len","final_cache_lengths","kept_fraction_prompt","kv_cache_mb_prompt","peak_cuda_mb","decode_attention_flops","avg_attention_flops_per_token","answer_preview","tpot_speedup_vs_dense","flops_ratio_vs_dense"
"pg19","emozilla/pg19/default:test","dense","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","96","0.0","4","32","4","20","0.75","0.056327","0.005957","109.823","0.31655","256.0","256 256 256 256 256 256","272.0","272 272 272 272 272 272","1.0","6.0","293.942","52002816","3250176","of the new year, and the new year, with the new year, with","1.0","1.0"
"pg19","emozilla/pg19/default:test","expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","96","0.623047","4","32","4","20","0.75","0.006041","0.005878","169.841","0.196131","96.0","96 96 96 96 96 96","112.0","112 112 112 112 112 112","0.375","2.25","290.567","20545536","1284096","of the most popular and most popular and most popular and most popular and most","1.013","0.395085"
"pg19","emozilla/pg19/default:test","observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","96","0.623047","4","32","4","20","0.75","0.006203","0.005919","168.452","0.124511","96.0","96 96 96 96 96 96","112.0","112 112 112 112 112 112","0.375","2.25","300.567","20545536","1284096","of the new edition of the newspaper, and the new edition of the new","1.006","0.395085"
"pg19","emozilla/pg19/default:test","tova","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","96","0.623047","4","32","4","20","0.75","0.006018","0.005901","169.247","0.107667","96.0","96 96 96 96 96 96","112.0","112 112 112 112 112 112","0.375","2.25","300.567","20545536","1284096","of the new edition, and the new edition of the new edition of the","1.009","0.395085"
"pg19","emozilla/pg19/default:test","critical_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","96","0.623047","4","32","4","20","0.75","0.006167","0.005826","171.007","0.117532","96.0","96 96 96 96 96 96","112.0","112 112 112 112 112 112","0.375","2.25","290.567","20545536","1284096","pounds, and the old-timer press-office-office-office-","1.022","0.395085"
"pg19","emozilla/pg19/default:test","chunk_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","96","0.623047","4","32","4","20","0.75","0.006186","0.00592","168.452","0.132451","96.0","96 96 96 96 96 96","112.0","112 112 112 112 112 112","0.375","2.25","290.567","20545536","1284096","of the new-comers, the new-comers, the new-","1.006","0.395085"
"pg19","emozilla/pg19/default:test","hybrid_expected_observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","96","0.623047","4","32","4","20","0.75","0.005804","0.005884","170.106","0.125819","96.0","96 96 96 96 96 96","112.0","112 112 112 112 112 112","0.375","2.25","300.567","20545536","1284096","of the new edition, and the new edition of the new edition of the","1.012","0.395085"
"pg19","emozilla/pg19/default:test","hybrid_soft_pyramid","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","96","0.623047","4","32","4","20","0.75","0.005965","0.005912","169.046","0.118098","96.0","120 110 101 91 82 72","112.0","136 126 117 107 98 88","0.375","2.25","300.661","20545536","1284096","of the new edition, and the new edition of the new edition of the","1.008","0.395085"
"pg19","emozilla/pg19/default:test","dense","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","128","0.0","4","32","4","20","0.75","0.057291","0.006499","103.371","0.322173","256.0","256 256 256 256 256 256","272.0","272 272 272 272 272 272","1.0","6.0","293.942","52002816","3250176","of the new year, and the new year, with the new year, with","1.0","1.0"
"pg19","emozilla/pg19/default:test","expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","128","0.498047","4","32","4","20","0.75","0.006344","0.006054","164.676","0.201057","128.0","128 128 128 128 128 128","144.0","144 144 144 144 144 144","0.5","3.0","291.192","26836992","1677312","of the day, and the  Times of New York, New York,","1.074","0.516068"
"pg19","emozilla/pg19/default:test","observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","128","0.498047","4","32","4","20","0.75","0.006269","0.006001","166.181","0.125987","128.0","128 128 128 128 128 128","144.0","144 144 144 144 144 144","0.5","3.0","301.192","26836992","1677312","of the new year, and the new year, with the new year, with","1.083","0.516068"
"pg19","emozilla/pg19/default:test","tova","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","128","0.498047","4","32","4","20","0.75","0.00585","0.005937","168.576","0.10772","128.0","128 128 128 128 128 128","144.0","144 144 144 144 144 144","0.5","3.0","301.192","26836992","1677312","of the new year, and the new year, with the new year, with","1.095","0.516068"
"pg19","emozilla/pg19/default:test","critical_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","128","0.498047","4","32","4","20","0.75","0.006245","0.006028","165.521","0.122242","128.0","128 128 128 128 128 128","144.0","144 144 144 144 144 144","0.5","3.0","291.192","26836992","1677312","per hour, and the old-timer press, which was the first to be","1.078","0.516068"
"pg19","emozilla/pg19/default:test","chunk_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","128","0.498047","4","32","4","20","0.75","0.006189","0.005933","168.087","0.124946","128.0","128 128 128 128 128 128","144.0","144 144 144 144 144 144","0.5","3.0","291.192","26836992","1677312","of the day, and the following day of the year, and the following","1.095","0.516068"
"pg19","emozilla/pg19/default:test","hybrid_expected_observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","128","0.498047","4","32","4","20","0.75","0.005858","0.005969","167.728","0.128069","128.0","128 128 128 128 128 128","144.0","144 144 144 144 144 144","0.5","3.0","301.192","26836992","1677312","of the new year, and the new year of the new year of the new","1.089","0.516068"
"pg19","emozilla/pg19/default:test","hybrid_soft_pyramid","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","128","0.498047","4","32","4","20","0.75","0.006443","0.006121","162.825","0.122781","128.0","160 147 134 122 109 96","144.0","176 163 150 138 125 112","0.5","3.0","301.317","26836992","1677312","of the new year, and the new year of the new year of the new","1.062","0.516068"
"pg19","emozilla/pg19/default:test","dense","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","192","0.0","4","32","4","20","0.75","0.055179","0.005874","111.662","0.306522","256.0","256 256 256 256 256 256","272.0","272 272 272 272 272 272","1.0","6.0","293.942","52002816","3250176","of the new year, and the new year, with the new year, with","1.0","1.0"
"pg19","emozilla/pg19/default:test","expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","192","0.248047","4","32","4","20","0.75","0.006259","0.005907","168.651","0.194435","192.0","192 192 192 192 192 192","208.0","208 208 208 208 208 208","0.75","4.5","292.442","39419904","2463744","in the day, and the day of the day of the week.  ","0.994","0.758034"
"pg19","emozilla/pg19/default:test","observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","192","0.248047","4","32","4","20","0.75","0.006059","0.005785","172.351","0.122595","192.0","192 192 192 192 192 192","208.0","208 208 208 208 208 208","0.75","4.5","302.442","39419904","2463744","of the new year, and the new year, with the new year, with","1.015","0.758034"
"pg19","emozilla/pg19/default:test","tova","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","192","0.248047","4","32","4","20","0.75","0.005845","0.005768","173.23","0.106255","192.0","192 192 192 192 192 192","208.0","208 208 208 208 208 208","0.75","4.5","302.442","39419904","2463744","of the new year, and the new year, with the new year, with","1.018","0.758034"
"pg19","emozilla/pg19/default:test","critical_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","192","0.248047","4","32","4","20","0.75","0.006145","0.005762","172.828","0.116982","192.0","192 192 192 192 192 192","208.0","208 208 208 208 208 208","0.75","4.5","292.442","39419904","2463744","per hour, and the new-comer, which would be the first to","1.019","0.758034"
"pg19","emozilla/pg19/default:test","chunk_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","192","0.248047","4","32","4","20","0.75","0.005956","0.005717","174.473","0.120348","192.0","192 192 192 192 192 192","208.0","208 208 208 208 208 208","0.75","4.5","292.442","39419904","2463744","of the day, and the most important of the day, and the most important","1.027","0.758034"
"pg19","emozilla/pg19/default:test","hybrid_expected_observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","192","0.248047","4","32","4","20","0.75","0.005752","0.005696","175.458","0.122544","192.0","192 192 192 192 192 192","208.0","208 208 208 208 208 208","0.75","4.5","302.442","39419904","2463744","of the new year, and the new year of the new year of the new","1.031","0.758034"
"pg19","emozilla/pg19/default:test","hybrid_soft_pyramid","kvpress-0.5.3","EleutherAI/pythia-70m","256","16","16","192","0.248047","4","32","4","20","0.75","0.006004","0.00593","168.511","0.117937","192.0","240 221 202 182 163 144","208.0","256 237 218 198 179 160","0.75","4.5","302.63","39419904","2463744","of the new year, and the new year, with the new year, with","0.991","0.758034"
