"dataset","source","policy","implementation","model","context_len","continuation_len","target_cache_size","compression_ratio","sink_size","snap_observation_window","pyramid_window_size","pyramid_beta","lazy_threshold","nll","ppl","prefill_s","decode_s","tokens_per_s","prompt_avg_cache_len","prompt_cache_lengths","final_avg_cache_len","final_cache_lengths","kept_fraction_prompt","kv_cache_mb_prompt","kv_cache_mb_final","peak_cuda_mb","decode_attention_flops"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","dense","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.0","4","32","4","20","0.75","3.685965","39.883601","0.206272","0.570652","112.152","256.0","256 256 256 256 256 256","320.0","320 320 320 320 320 320","1.0","6.0","7.5","336.16","226885632"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","4.044347","57.073924","0.109401","0.379063","168.838","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","332.41","101056512"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","3.86","47.46533","0.032915","0.377904","169.355","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","344.41","101056512"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","tova","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","4.026033","56.038168","0.014401","0.375054","170.642","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","344.41","101056512"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","critical_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","4.032694","56.412691","0.025714","0.385843","165.871","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","332.41","101056512"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","chunk_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","4.027839","56.13944","0.036939","0.376984","169.769","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","332.41","101056512"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","hybrid_expected_observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","3.884625","48.648687","0.034276","0.379356","168.707","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","344.41","101056512"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","hybrid_soft_pyramid","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","3.905053","49.652716","0.0224","0.33196","192.794","96.0","120 110 101 91 82 72","160.0","184 174 165 155 146 136","0.375","2.25","3.75","344.41","101056512"
"pg19","emozilla/pg19/default:test","dense","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.0","4","32","4","20","0.75","3.577556","35.785962","0.011915","0.351203","182.231","256.0","256 256 256 256 256 256","320.0","320 320 320 320 320 320","1.0","6.0","7.5","336.16","226885632"
"pg19","emozilla/pg19/default:test","expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","4.232897","68.916596","0.021088","0.379747","168.533","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","332.41","101056512"
"pg19","emozilla/pg19/default:test","observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","3.807154","45.022139","0.013389","0.378683","169.007","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","344.41","101056512"
"pg19","emozilla/pg19/default:test","tova","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","3.542696","34.559965","0.014309","0.380513","168.194","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","344.41","101056512"
"pg19","emozilla/pg19/default:test","critical_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","3.789519","44.235127","0.024055","0.378963","168.882","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","332.41","101056512"
"pg19","emozilla/pg19/default:test","chunk_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","4.202701","66.866721","0.037325","0.387789","165.038","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","332.41","101056512"
"pg19","emozilla/pg19/default:test","hybrid_expected_observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","3.621028","37.375968","0.025035","0.400849","159.661","96.0","96 96 96 96 96 96","160.0","160 160 160 160 160 160","0.375","2.25","3.75","344.41","101056512"
"pg19","emozilla/pg19/default:test","hybrid_soft_pyramid","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","96","0.623047","4","32","4","20","0.75","3.605816","36.811701","0.027199","0.351405","182.126","96.0","120 110 101 91 82 72","160.0","184 174 165 155 146 136","0.375","2.25","3.75","344.41","101056512"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","dense","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","128","0.0","4","32","4","20","0.75","3.685965","39.883601","0.263401","0.529892","120.779","256.0","256 256 256 256 256 256","320.0","320 320 320 320 320 320","1.0","6.0","7.5","336.16","226885632"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","128","0.498047","4","32","4","20","0.75","3.97617","53.312461","0.102383","0.331987","192.778","128.0","128 128 128 128 128 128","192.0","192 192 192 192 192 192","0.5","3.0","4.5","333.16","126222336"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","128","0.498047","4","32","4","20","0.75","3.775367","43.613528","0.028248","0.376842","169.832","128.0","128 128 128 128 128 128","192.0","192 192 192 192 192 192","0.5","3.0","4.5","345.16","126222336"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","tova","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","128","0.498047","4","32","4","20","0.75","3.997029","54.436158","0.013488","0.372489","171.817","128.0","128 128 128 128 128 128","192.0","192 192 192 192 192 192","0.5","3.0","4.5","345.16","126222336"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","critical_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","128","0.498047","4","32","4","20","0.75","3.922267","50.514855","0.026366","0.39196","163.282","128.0","128 128 128 128 128 128","192.0","192 192 192 192 192 192","0.5","3.0","4.5","333.16","126222336"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","chunk_expected","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","128","0.498047","4","32","4","20","0.75","3.88481","48.65772","0.030515","0.384398","166.494","128.0","128 128 128 128 128 128","192.0","192 192 192 192 192 192","0.5","3.0","4.5","333.16","126222336"
"wikitext","Salesforce/wikitext/wikitext-2-raw-v1:test","hybrid_expected_observed","kvpress-0.5.3","EleutherAI/pythia-70m","256","64","128","0.498047","4","32","4","20","0.75","3.856598","47.304141","0.031638","0.372876","171.639","128.0","128 128 128 128 128 128","192.0","192 192 192 192 192 192","0.5","3.0","4.5","345.16","126222336"
