dataset,source,policy,implementation,model,context_len,continuation_len,target_cache_size,compression_ratio,sink_size,snap_observation_window,pyramid_window_size,pyramid_beta,lazy_threshold,nll,ppl,prefill_s,decode_s,tokens_per_s,prompt_avg_cache_len,prompt_cache_lengths,final_avg_cache_len,final_cache_lengths,kept_fraction_prompt,kv_cache_mb_prompt,kv_cache_mb_final,peak_cuda_mb,decode_attention_flops
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.0,4,32,4,20,0.75,3.685965,39.883601,0.263401,0.529892,120.779,256.0,256 256 256 256 256 256,320.0,320 320 320 320 320 320,1.0,6.0,7.5,336.16,226885632
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.97617,53.312461,0.102383,0.331987,192.778,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,333.16,126222336
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,observed,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.775367,43.613528,0.028248,0.376842,169.832,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,345.16,126222336
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,tova,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.997029,54.436158,0.013488,0.372489,171.817,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,345.16,126222336
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,critical_expected,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.922267,50.514855,0.026366,0.39196,163.282,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,333.16,126222336
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,chunk_expected,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.88481,48.65772,0.030515,0.384398,166.494,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,333.16,126222336
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,hybrid_expected_observed,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.856598,47.304141,0.031638,0.372876,171.639,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,345.16,126222336
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,hybrid_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.82331,45.755404,0.023091,0.392806,162.93,128.0,160 147 134 122 109 96,192.0,224 211 198 186 173 160,0.5,3.0,4.5,345.16,126222336
pg19,emozilla/pg19/default:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.0,4,32,4,20,0.75,3.577556,35.785962,0.01081,0.382084,167.503,256.0,256 256 256 256 256 256,320.0,320 320 320 320 320 320,1.0,6.0,7.5,336.16,226885632
pg19,emozilla/pg19/default:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,4.186534,65.794355,0.020902,0.386663,165.519,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,333.16,126222336
pg19,emozilla/pg19/default:test,observed,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.751871,42.600696,0.013275,0.37698,169.77,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,345.16,126222336
pg19,emozilla/pg19/default:test,tova,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.56078,35.190644,0.013139,0.378515,169.082,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,345.16,126222336
pg19,emozilla/pg19/default:test,critical_expected,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.740776,42.130656,0.029918,0.403787,158.499,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,333.16,126222336
pg19,emozilla/pg19/default:test,chunk_expected,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,4.216068,67.766505,0.032507,0.423092,151.267,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,333.16,126222336
pg19,emozilla/pg19/default:test,hybrid_expected_observed,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.598773,36.55336,0.024425,0.368118,173.857,128.0,128 128 128 128 128 128,192.0,192 192 192 192 192 192,0.5,3.0,4.5,345.16,126222336
pg19,emozilla/pg19/default:test,hybrid_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,256,64,128,0.498047,4,32,4,20,0.75,3.597803,36.517905,0.023215,0.379042,168.847,128.0,160 147 134 122 109 96,192.0,224 211 198 186 173 160,0.5,3.0,4.5,345.16,126222336
