dataset,source,policy,implementation,model,context_len,continuation_len,target_cache_size,compression_ratio,sink_size,snap_observation_window,pyramid_window_size,pyramid_beta,lazy_threshold,nll,ppl,prefill_s,decode_s,tokens_per_s,prompt_avg_cache_len,prompt_cache_lengths,final_avg_cache_len,final_cache_lengths,kept_fraction_prompt,kv_cache_mb_prompt,kv_cache_mb_final,peak_cuda_mb,decode_attention_flops
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.0,4,32,4,20,0.99,2.277228,9.74962,0.245102,0.977324,130.97,512.0,512 512 512 512 512 512,640.0,640 640 640 640 640 640,1.0,12.0,15.0,390.912,906756096
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,streaming,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,4.043547,57.028267,0.049015,0.758941,168.656,256.0,256 256 256 256 256 256,384.0,384 384 384 384 384 384,0.5,6.0,9.0,384.912,504102912
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,snapkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,3.500194,33.121884,0.038059,0.762529,167.863,256.0,256 256 256 256 256 256,384.0,384 384 384 384 384 384,0.5,6.0,9.0,433.912,504102912
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,pyramidkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,3.096451,22.119309,0.019638,0.765768,167.153,256.5,500 403 305 208 110 13,384.5,628 531 433 336 238 141,0.500977,6.012,9.012,433.924,504889344
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,2.405219,11.08086,0.055794,0.760808,168.242,256.0,256 256 256 256 256 256,384.0,384 384 384 384 384 384,0.5,6.0,9.0,384.912,504102912
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,2.425255,11.305111,0.024332,0.749531,170.773,256.5,500 403 305 208 110 13,384.5,628 531 433 336 238 141,0.500977,6.012,9.012,384.924,504889344
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,layer_adaptive_expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,2.423877,11.289549,0.049729,0.755443,169.437,256.5,500 403 305 208 110 13,384.5,628 531 433 336 238 141,0.500977,6.012,9.012,433.924,504889344
pg19,emozilla/pg19/default:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.0,4,32,4,20,0.99,3.494614,32.937559,0.015349,0.745787,171.631,512.0,512 512 512 512 512 512,640.0,640 640 640 640 640 640,1.0,12.0,15.0,390.912,906756096
pg19,emozilla/pg19/default:test,streaming,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,3.506231,33.322448,0.016956,0.696254,183.841,256.0,256 256 256 256 256 256,384.0,384 384 384 384 384 384,0.5,6.0,9.0,384.912,504102912
pg19,emozilla/pg19/default:test,snapkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,3.484013,32.590232,0.019821,0.74833,171.048,256.0,256 256 256 256 256 256,384.0,384 384 384 384 384 384,0.5,6.0,9.0,433.912,504102912
pg19,emozilla/pg19/default:test,pyramidkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,3.493929,32.915014,0.02034,0.764066,167.525,256.5,500 403 305 208 110 13,384.5,628 531 433 336 238 141,0.500977,6.012,9.012,433.924,504889344
pg19,emozilla/pg19/default:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,3.492077,32.85413,0.02642,0.753371,169.903,256.0,256 256 256 256 256 256,384.0,384 384 384 384 384 384,0.5,6.0,9.0,384.912,504102912
pg19,emozilla/pg19/default:test,expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,3.502506,33.198557,0.025231,0.773071,165.573,256.5,500 403 305 208 110 13,384.5,628 531 433 336 238 141,0.500977,6.012,9.012,384.924,504889344
pg19,emozilla/pg19/default:test,layer_adaptive_expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,256,0.499023,4,32,4,20,0.99,3.503455,33.230074,0.026307,0.674119,189.877,256.5,500 403 305 208 110 13,384.5,628 531 433 336 238 141,0.500977,6.012,9.012,433.924,504889344
