dataset,source,policy,implementation,model,context_len,continuation_len,target_cache_size,compression_ratio,sink_size,snap_observation_window,pyramid_window_size,pyramid_beta,lazy_threshold,nll,ppl,prefill_s,decode_s,tokens_per_s,prompt_avg_cache_len,prompt_cache_lengths,final_avg_cache_len,final_cache_lengths,kept_fraction_prompt,kv_cache_mb_prompt,kv_cache_mb_final,peak_cuda_mb,decode_attention_flops
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.0,4,32,4,20,0.75,2.277228,9.74962,0.314606,0.972049,131.681,512.0,512 512 512 512 512 512,640.0,640 640 640 640 640 640,1.0,12.0,15.0,390.912,906756096
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,streaming,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,4.088191,59.631916,0.051771,0.888076,144.132,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,382.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,snapkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.944008,51.625105,0.043817,0.805257,158.956,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,pyramidkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.781553,43.884134,0.02153,0.844698,151.533,132.5,258 208 158 107 57 7,260.5,386 336 286 235 185 135,0.258789,3.105,6.105,431.018,309854208
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,2.878681,17.790787,0.054304,0.788509,162.332,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,382.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.111283,22.449819,0.025031,0.825183,155.117,132.0,165 152 139 125 112 99,260.0,293 280 267 253 240 227,0.257812,3.094,6.094,382.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.590059,36.236221,0.024558,0.861143,148.64,132.5,258 208 158 107 57 7,260.5,386 336 286 235 185 135,0.258789,3.105,6.105,382.018,309854208
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,layer_adaptive_expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.721034,41.307098,0.051754,0.809375,158.147,132.5,258 208 158 107 57 7,260.5,386 336 286 235 185 135,0.258789,3.105,6.105,431.018,309854208
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.878363,48.344999,0.019365,0.796022,160.8,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,tova,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,4.305935,74.138525,0.019035,0.767239,166.832,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,hybrid_expected_observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.753434,42.667344,0.047538,0.859733,148.884,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
wikitext,Salesforce/wikitext/wikitext-2-raw-v1:test,hybrid_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.807815,45.051887,0.031179,0.827609,154.662,132.0,165 152 139 125 112 99,260.0,293 280 267 253 240 227,0.257812,3.094,6.094,431.006,309067776
pg19,emozilla/pg19/default:test,dense,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.0,4,32,4,20,0.75,3.494614,32.937559,0.015239,0.832402,153.772,512.0,512 512 512 512 512 512,640.0,640 640 640 640 640 640,1.0,12.0,15.0,390.912,906756096
pg19,emozilla/pg19/default:test,streaming,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.486253,32.663314,0.017723,1.109003,115.419,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,382.006,309067776
pg19,emozilla/pg19/default:test,snapkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.498194,33.055691,0.019974,0.879273,145.575,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
pg19,emozilla/pg19/default:test,pyramidkv,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.474639,32.286182,0.021698,0.827298,154.72,132.5,258 208 158 107 57 7,260.5,386 336 286 235 185 135,0.258789,3.105,6.105,431.018,309854208
pg19,emozilla/pg19/default:test,expected,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.551348,34.86028,0.024982,0.812887,157.463,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,382.006,309067776
pg19,emozilla/pg19/default:test,expected_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.533242,34.23476,0.02735,0.965459,132.579,132.0,165 152 139 125 112 99,260.0,293 280 267 253 240 227,0.257812,3.094,6.094,382.006,309067776
pg19,emozilla/pg19/default:test,expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.523287,33.895659,0.031685,0.851771,150.275,132.5,258 208 158 107 57 7,260.5,386 336 286 235 185 135,0.258789,3.105,6.105,382.018,309854208
pg19,emozilla/pg19/default:test,layer_adaptive_expected_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.504085,33.251001,0.027325,0.991768,129.062,132.5,258 208 158 107 57 7,260.5,386 336 286 235 185 135,0.258789,3.105,6.105,431.018,309854208
pg19,emozilla/pg19/default:test,observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.46166,31.869852,0.02656,1.144094,111.879,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
pg19,emozilla/pg19/default:test,tova,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.48534,32.63351,0.021624,1.199512,106.71,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
pg19,emozilla/pg19/default:test,hybrid_expected_observed,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.498696,33.072293,0.038522,1.143496,111.937,132.0,132 132 132 132 132 132,260.0,260 260 260 260 260 260,0.257812,3.094,6.094,431.006,309067776
pg19,emozilla/pg19/default:test,hybrid_soft_pyramid,kvpress-0.5.3,EleutherAI/pythia-70m,512,128,132,0.741211,4,32,4,20,0.75,3.487841,32.715243,0.037276,1.173708,109.056,132.0,165 152 139 125 112 99,260.0,293 280 267 253 240 227,0.257812,3.094,6.094,431.006,309067776
